urlid,label
5865,1
782,0
6962,0
7640,0
3589,0
6719,0
3905,0
9841,1
7447,0
4776,0
2879,1
2620,1
10479,0
1105,0
1849,0
8286,0
8344,1
10486,1
8661,1
7188,1
1433,1
677,0
469,1
6988,0
8024,0
6896,0
9154,0
342,1
50,0
983,0
6933,0
8271,0
5602,0
4505,0
4966,1
2390,0
6736,0
4660,1
7560,1
3840,1
5823,0
5789,1
1595,0
6770,0
3522,1
5584,1
8323,1
3862,1
373,0
7345,0
7708,0
1398,1
4298,1
7467,0
1878,1
1832,0
625,0
7438,0
9961,1
7117,0
8190,0
1713,1
949,1
9246,0
2326,0
8942,0
4458,1
4659,0
9522,0
2497,1
9836,0
3808,1
5575,0
5714,0
2490,1
6812,1
4335,0
10014,1
5889,1
482,1
8082,1
5856,1
8866,0
2624,1
1371,0
4436,0
2972,0
3638,1
6249,0
7602,0
9624,1
7567,1
6578,0
7590,0
8590,0
10520,1
1906,0
1373,1
1601,1
4754,0
8208,0
1658,1
1352,1
8143,1
7760,1
7836,1
9769,0
503,1
4909,0
7162,0
10035,0
1992,0
6133,0
8519,1
1879,0
7107,0
1225,1
2451,1
8252,0
9214,0
4850,1
5891,0
5274,1
8623,0
562,1
860,0
4199,1
7616,0
10544,0
1567,1
6552,0
954,0
111,0
7036,1
1995,1
7095,0
10180,0
6872,1
4805,1
355,1
8097,1
9271,0
431,1
1646,1
143,1
3436,0
150,1
9745,0
715,0
578,0
8684,1
1186,0
9115,0
9239,0
5461,1
5424,1
1349,1
609,1
7569,0
1622,1
6541,0
9873,1
305,0
6041,0
5360,0
8445,1
7260,0
4526,1
138,0
168,0
7888,1
4639,1
867,0
9673,1
710,0
4749,0
4716,0
410,0
2155,1
3289,0
7774,1
1200,0
9057,0
2261,0
9612,0
4987,1
3605,1
5068,1
4474,1
5831,1
4729,1
10060,1
6895,0
3791,1
7910,0
4209,0
4984,1
1773,0
2101,1
7251,0
2887,1
875,1
8185,1
9688,1
5342,0
6802,0
3077,0
712,0
3026,1
2640,0
4872,0
3334,0
2431,0
9218,0
7417,1
3563,1
1006,1
8940,1
7703,0
2686,0
8159,1
37,0
65,0
1910,0
2202,1
9717,1
2388,1
2365,0
5072,1
4614,0
6955,0
4094,0
3319,1
1456,1
5381,1
4479,1
4766,0
6076,1
8064,0
3416,1
4892,0
9942,1
9215,0
4506,1
9275,0
1306,1
6828,0
8368,1
7205,1
360,1
3386,1
3835,0
1305,0
7963,0
2073,0
4230,0
9012,0
2723,1
6788,1
7945,0
4868,0
6597,1
7323,0
6229,0
3427,0
7727,0
4707,1
2547,1
4523,1
9648,0
1084,1
3327,1
5591,0
186,0
2938,1
9912,1
6047,0
2417,1
10533,0
1137,0
1533,1
9233,0
43,0
8986,0
6000,1
480,0
2457,1
5362,0
7722,1
7940,1
6104,1
8853,0
5813,1
4769,0
2544,1
6379,0
5262,0
9885,0
10081,1
1315,0
3388,0
3473,1
2117,0
9411,1
9379,1
4236,0
2049,0
4786,0
1604,0
7659,0
8152,0
5417,0
160,1
6826,1
1815,1
3647,1
5605,0
3526,1
3854,1
1053,1
2411,0
6015,0
2089,1
7745,1
6816,0
3934,1
6547,1
3758,0
7158,1
1584,0
2982,1
7679,1
5286,1
3776,1
1235,1
6294,1
1012,0
10318,0
7134,1
5180,0
2108,1
3639,0
6729,0
2472,0
10235,0
190,1
4713,0
6827,0
6108,1
1114,1
4848,0
606,1
1573,1
8546,0
5193,0
2936,0
5104,1
6712,0
3055,0
74,1
7726,0
9183,0
162,1
7288,0
8657,1
1295,1
8207,0
4433,0
590,1
10549,0
7749,0
405,1
10267,1
7133,0
7584,0
6616,1
1719,0
9761,1
5859,0
5662,0
1736,0
9333,1
1102,0
2790,1
6598,1
7995,1
4452,1
159,0
511,1
7006,1
1123,1
6073,1
7094,0
10008,1
7573,0
679,1
6809,0
1108,1
380,0
204,1
7075,0
2550,1
9785,1
5036,0
3129,0
6495,1
880,0
2360,1
7839,0
350,0
9151,1
6650,1
7208,1
5840,0
5997,0
2103,1
713,1
7771,0
10255,0
3944,1
4250,0
2833,0
3052,0
7855,1
4152,1
4445,1
10036,1
9727,0
2234,0
9632,1
626,0
1644,0
4859,1
3987,0
5884,1
4112,1
10392,0
2962,0
21,0
8524,1
2543,1
663,0
2748,0
3451,0
964,1
10560,1
2428,0
4520,0
7660,1
6583,1
10390,0
688,0
7957,1
3356,1
1766,1
9128,0
2340,0
9421,0
7712,1
8200,0
8762,0
6446,0
5194,0
960,0
779,1
3584,1
3011,0
2769,0
1392,0
7254,0
9084,0
9622,0
3665,0
1609,1
6130,0
10155,0
7826,1
8300,0
5038,0
7582,1
9561,0
7430,0
5045,1
10421,0
5675,0
4687,1
4944,1
5105,1
148,0
6371,0
8108,0
4354,0
6077,1
4292,0
10068,0
5821,0
1042,1
7715,0
9703,0
2761,1
7002,0
7313,1
9050,0
5518,0
10556,1
1078,1
9699,0
10445,1
8748,1
2960,1
4317,0
939,0
8423,0
5196,0
8151,0
7199,1
1574,0
8566,0
7389,0
1177,0
10282,1
10098,1
4512,0
4055,1
8431,1
4532,0
10450,0
5754,1
1882,1
1563,1
4871,1
8440,0
3253,0
8270,0
4610,0
9619,0
8786,0
2889,1
9781,0
5061,1
7059,1
2064,1
1587,1
1934,1
5516,0
9853,0
7867,0
1556,1
5495,0
4274,1
8177,0
9491,1
9813,0
2205,0
2710,0
2992,0
7998,0
6428,1
6638,0
3035,1
1578,1
1324,1
2316,1
9326,0
7359,1
7741,1
5143,0
8196,0
630,0
8481,1
8497,0
5409,1
5749,0
8219,0
9571,1
4886,1
5367,0
1185,0
8291,0
1590,0
7698,0
51,1
8784,0
3928,0
5987,0
7008,1
7482,1
9374,1
1296,1
10289,1
2986,0
4651,0
8594,1
7469,1
2871,0
1903,1
8571,1
4832,1
1242,1
7115,0
3599,0
2065,0
4529,0
763,1
6698,1
2002,1
2020,1
5229,1
8243,0
6936,1
9360,0
4360,0
7951,0
6701,0
7574,1
2426,0
1681,1
7135,0
3688,0
3872,0
558,0
2228,1
8170,0
7171,0
7756,0
3609,0
3985,1
1139,1
3453,0
7583,0
9788,1
10175,0
6059,0
104,0
10168,0
8902,1
5343,1
4239,0
6767,1
6269,0
6682,1
9558,1
2416,0
6592,0
6196,0
2751,1
3412,1
8302,1
1120,1
8005,0
6637,0
6440,0
6679,1
8039,1
5357,1
8844,1
2964,0
6040,0
7259,1
8974,0
7439,0
1045,1
7706,1
9724,0
3698,0
7339,1
1749,1
7257,1
2963,1
7775,0
10501,0
4258,1
7908,1
722,0
6519,1
6916,0
4456,1
2731,1
917,1
4107,1
7894,0
2540,1
8455,1
10406,1
8909,1
5489,0
306,1
3894,1
2735,0
4939,1
1551,1
777,0
2160,1
8599,1
2727,1
6362,0
1417,1
10343,1
4866,1
2682,1
9856,0
4498,0
7450,0
6899,0
5649,1
6086,0
1618,0
9926,0
2847,0
8099,0
5724,0
3358,1
8136,0
955,0
8819,0
5832,1
10413,1
6548,0
8407,0
10090,1
8564,0
808,1
5303,0
8913,1
9425,1
9543,1
1219,1
9575,1
4019,1
6223,1
9588,0
4739,0
10492,1
2017,0
5524,1
7449,1
5734,0
5456,0
797,1
5525,0
8265,0
1981,1
8977,1
6241,1
6021,1
7720,0
8632,0
6705,1
2476,0
3510,1
8887,1
10115,1
9061,1
5570,0
2763,1
1437,1
3448,0
3529,0
3156,0
4604,1
6776,1
10227,1
1545,1
10487,0
993,0
1161,1
7975,1
1591,0
7804,1
5048,0
10454,1
3567,0
5886,0
9937,0
3931,1
9706,1
10193,1
5569,1
9747,0
2217,1
5936,0
3885,1
1086,0
1799,1
9763,1
3299,0
8268,1
473,0
337,1
9381,1
6426,1
1210,1
4986,0
8285,0
2024,0
245,1
4807,1
2208,1
9835,0
8963,0
9946,1
5230,0
2788,1
674,0
1629,1
2300,0
169,0
3575,1
6910,0
1479,0
10498,0
8062,1
9672,0
9467,1
6763,1
8508,0
1034,0
3756,0
9263,0
8141,0
532,0
7022,1
4024,0
3298,0
5641,0
10455,1
5206,1
7005,0
8971,0
8358,1
257,1
78,1
6333,0
7969,0
2505,0
2004,1
3748,1
5668,0
365,0
9651,0
2324,0
3902,0
9294,1
5377,0
2817,0
7670,0
4755,0
255,1
2714,0
2922,0
5517,1
5157,0
64,0
5300,0
451,0
3941,1
326,0
3757,0
8798,0
2315,0
6755,1
2916,1
7406,1
3703,1
5403,0
622,0
9,1
5848,0
8670,0
1156,0
10179,0
2028,1
3924,1
620,0
1963,1
4537,0
8970,0
3024,1
6140,1
1866,1
4442,1
2312,0
6749,1
459,0
1516,0
8817,0
4912,0
2076,0
10023,1
7684,1
3531,0
6209,1
10508,1
8678,0
3541,0
1208,1
4090,0
1097,0
5099,1
2816,0
4291,0
1409,0
6401,0
4617,0
6111,0
6172,1
10357,0
8465,1
3867,1
9495,1
4348,1
7879,1
9273,0
3252,0
9167,1
2573,0
7395,0
9046,1
1526,0
9339,0
10301,1
7588,1
1104,0
1310,0
6631,0
10475,0
9090,0
1528,0
1657,1
1175,0
1895,0
3864,0
4700,0
3572,0
10507,0
269,0
5744,0
1687,1
3020,0
4974,1
5119,0
1916,1
6687,1
2197,1
8641,1
10073,1
1967,0
4999,0
9816,0
734,1
9665,1
5092,1
2591,1
9877,1
4601,1
7734,0
7185,1
6405,0
7003,0
928,1
6490,0
1586,0
10139,1
1192,1
10526,0
5544,1
8779,0
4497,0
3059,1
2181,0
2303,1
1190,1
1468,0
8771,0
8997,0
6365,1
10355,0
3478,0
3764,1
3542,0
4941,0
1840,0
463,0
7407,1
7711,0
6044,0
3750,1
10114,0
1332,1
425,1
3479,1
1979,1
2994,1
207,1
5820,1
9187,0
5423,0
2743,1
2902,1
9126,1
7903,1
4100,1
3578,0
6061,1
5081,0
4575,1
6695,0
5960,1
10186,0
6795,0
10022,0
5841,0
7481,0
9331,1
400,1
6907,0
10393,0
3709,1
4726,1
3007,0
4723,0
597,0
1810,1
4131,0
4697,1
8838,1
5956,0
4196,1
63,1
1714,1
904,0
9715,0
4,0
5462,1
259,0
5418,0
6849,0
9893,1
10003,1
4976,0
7611,1
900,0
3746,1
3893,0
2966,0
9667,1
9734,0
8123,1
8470,1
4058,1
4623,1
3782,0
7966,1
6003,1
2168,1
422,0
6381,1
1136,1
3443,0
2214,0
9973,1
1593,0
5474,1
812,1
4703,0
4294,1
10021,1
395,0
3237,0
9099,1
2401,0
10371,1
3420,1
3460,1
9088,1
5995,1
3084,0
3595,0
9524,1
167,1
9743,1
6109,0
433,0
6292,0
8125,0
4035,1
2929,1
8810,1
4403,1
3925,1
1290,0
3689,0
6709,0
8021,0
6237,1
1453,0
7340,1
6078,0
2369,0
1781,0
3830,1
7625,0
8150,0
1680,0
7077,0
3360,1
7927,1
244,1
8107,1
820,1
5915,1
924,0
9207,0
4077,1
6052,1
508,1
8105,0
4405,0
7558,0
6094,1
484,1
8927,0
310,0
8075,1
1094,1
3211,0
1700,0
4816,1
9354,1
8845,1
7530,1
1520,0
1087,1
5786,1
6847,1
999,1
5308,0
